code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603301,振德医疗,医疗保健,浙江,28.53,0.25,1.0,188138.55,110721.06,51158.76,69931.32,6.99,0.96,10.79,3.01,20180412,26704.34,2.67,0.0,0.0,30.17,8.29,18717.0
600323,瀚蓝环境,水务,广东,9.7,7.66,7.66,1513718.75,229973.97,330639.97,152117.92,1.99,0.971,7.44,1.69,20001225,296512.72,3.87,17.16,36.3,34.2,20.74,30981.0
300396,迪瑞医疗,医疗保健,吉林,16.47,2.47,2.76,198857.67,87376.43,29563.25,28727.36,1.04,0.5710000000000001,4.91,2.56,20140910,71593.52,2.59,9.83,16.83,65.3,23.63,8073.0
600330,天通股份,元器件,浙江,17.75,9.97,9.97,605838.5,267561.53,188562.91,245510.41,2.46,0.23399999999999999,3.88,1.43,20010118,41495.94,0.42,21.78,55.15,27.35,12.22,72324.0
600097,开创国际,渔业,上海,13.64,2.03,2.41,199609.27,122391.71,54786.75,61164.21,2.54,0.508,6.77,1.37,19970619,49463.5,2.05,11.31,347.19,40.09,8.58,14599.0
000960,锡业股份,小金属,云南,17.21,14.06,16.69,3408366.5,1220268.75,1092957.63,885021.81,5.3,0.436,7.02,1.43,20000221,76758.67,0.46,13.57,34.99,8.25,2.32,88660.0
002903,宇环数控,机床制造,湖南,49.06,0.66,1.5,77692.38,65348.96,5294.98,24444.5,1.63,0.284,4.18,4.45,20171013,19314.72,1.29,-16.74,-36.69,39.13,25.69,25249.0
600235,民丰特纸,造纸,浙江,57.02,3.51,3.51,216022.41,87925.13,99006.86,82903.24,2.36,0.054000000000000006,3.68,1.11,20000615,4418.83,0.13,-4.38,18.78,15.55,1.65,22801.0
603896,寿仙谷,中成药,浙江,52.66,0.61,1.43,108429.57,44311.62,23479.47,56892.26,3.97,0.419,6.44,4.56,20170510,25646.74,1.79,38.88,18.12,86.14,18.5,14925.0
002789,建艺集团,装修装饰,深圳,21.09,0.66,1.38,366053.91,268125.06,4727.62,55369.11,4.01,0.569,8.94,1.79,20160311,48316.62,3.5,6.07,9.43,13.0,3.77,13901.0
300082,奥克股份,化工原料,辽宁,10.58,6.75,6.82,634609.69,318804.31,204711.73,173453.31,2.54,0.37,4.45,1.17,20100520,53451.01,0.78,44.16,59.77,10.0,4.49,24958.0
300656,民德电子,电脑设备,深圳,33.43,0.45,0.9,60931.68,47934.73,670.56,19773.22,2.2,0.45299999999999996,4.96,4.06,20170519,14064.01,1.56,144.65,55.38,37.63,20.84,6088.0
600493,凤竹纺织,纺织,福建,29.12,2.72,2.72,116881.05,58034.43,27707.18,19092.56,0.7,0.09,2.62,2.0,20040421,16388.09,0.6,22.59,147.71,14.85,5.6,22901.0
600319,亚星化学,化工原料,山东,39.62,3.16,3.16,140163.3,53337.44,72355.55,85094.9,2.7,0.052000000000000005,0.15,26.75,20010326,-116935.46,-3.71,12.26,119.9,10.64,1.54,13665.0
600312,平高电气,电气设备,河南,0.0,13.57,13.57,1926636.63,1415894.75,297030.72,490188.25,3.61,-0.096,6.28,1.19,20010221,178730.7,1.32,-36.31,-137.33,11.38,-4.99,61925.0
600328,兰太实业,化工原料,内蒙,9.49,4.38,4.38,683618.0,180602.02,369571.66,101836.63,2.32,0.563,5.45,1.31,20001222,81504.5,1.86,15.07,28.96,39.51,8.73,40382.0
000932,华菱钢铁,普钢,湖南,3.45,30.15,30.16,7442376.0,3008809.25,3851720.5,702743.44,2.33,1.14,4.57,1.72,19990803,288746.5,0.96,24.14,259.59,16.84,7.91,74467.0
600305,恒顺醋业,食品,江苏,25.22,7.84,7.84,271263.91,113829.56,93940.34,28950.94,0.37,0.27899999999999997,2.47,3.8,20010206,75459.18,0.96,10.83,50.69,41.45,17.66,37622.0
600768,宁波富邦,铝,浙江,0.0,1.34,1.34,54610.63,31948.1,15462.45,404.11,0.03,-0.054000000000000006,0.96,9.42,19961111,-2356.32,-0.18,-6.07,-108.15,3.22,-1.3,10012.0
603569,长久物流,仓储物流,北京,25.96,0.8,5.6,559481.13,349741.06,131737.59,38715.23,0.69,0.336,4.01,2.9,20160810,111142.0,1.98,11.32,-19.04,10.22,5.01,17429.0
600021,上海电力,火力发电,上海,18.59,8.56,26.17,8834188.0,1188523.5,5190648.0,660328.25,2.52,0.29,5.28,1.28,20031029,460744.59,1.76,12.99,29.16,20.84,4.32,115790.0
600315,上海家化,日用化工,上海,28.45,6.71,6.72,1060820.0,506056.69,89937.0,86101.07,1.28,0.6759999999999999,8.66,2.96,20010315,370861.41,5.52,9.5,37.98,62.79,8.37,23673.0
